descripcion,resolucion,procedimiento,ley,palabras_clave
Empleado reporta que le exigen firmar evaluación de desempeño en blanco,Anular documento y sancionar práctica,- Investigar presión laboral. - Capacitar en ética. - Implementar controles.,Artículo 168-B del Código Penal (Falsedad),"evaluación, firma, blanco, fraude"
Trabajador denuncia que le niegan permiso para examen de próstata,Otorgar día pagado según recomendación médica,- Validar cita médica. - Ajustar políticas. - Proteger privacidad.,Artículo 25 de la Ley 29783 (Prevención en salud),"próstata, examen, permiso, salud"
Conflicto por negativa a reconocer antigüedad en contrato tercerizado,Regularizar vínculo laboral y pagar beneficios,- Verificar tiempo real de servicio. - Reclasificar contrato. - Liquidar diferencias.,Artículo 18 del DS 003-97-TR (Tercerización),"antigüedad, tercerizado, contrato, derechos"
Denuncia por despido durante licencia por estrés laboral,Reintegrar y pagar salarios caídos,- Validar diagnóstico médico. - Investigar represalia. - Implementar ajustes razonables.,Artículo 29 de la Ley 29783 (Salud mental),"estrés, despido, licencia, represalia"
Empleado reporta que le asignan computadora con keylogger instalado,Retirar software espía y sancionar violación,- Auditar dispositivos. - Proteger datos personales. - Capacitar en privacidad digital.,Artículo 2 de la Constitución (Intimidad),"keylogger, espionaje, privacidad, datos"
Trabajador denuncia que le prohíben usar crema para dermatitis laboral,Permitir EPP dermatológico con receta,- Validar diagnóstico médico. - Proveer productos. - Ajustar políticas.,Artículo 29 de la Ley 29783 (Protección dérmica),"dermatitis, crema, salud, piel"
Conflicto por falta de pago de bono por trabajo en zona fronteriza,Liquidar beneficio omitido con intereses,- Verificar ubicación geográfica. - Calcular monto. - Denunciar omisión.,Artículo 10 del DS 005-2012-TR (Zonas especiales),"frontera, bono, riesgo, salario"
Denuncia por asignación de supervisor sin capacitación en liderazgo,Exigir certificación y capacitar inmediatamente,- Evaluar competencias. - Implementar programa de formación. - Monitorear trato.,Artículo 22 del DS 003-97-TR (Capacitación obligatoria),"supervisor, liderazgo, capacitación, trato"
Empleado reporta que le exigen trabajar en área con radiación sin dosímetro,Suspender labores hasta proveer equipos,- Medir niveles de radiación. - Entregar dosímetros. - Rotar personal.,Norma OSINERGMIN 050-2013 (Protección radiológica),"radiación, dosímetro, riesgo, salud"
Trabajador denuncia que le niegan permiso para terapia de rehabilitación,Otorgar permisos pagados según prescripción,- Validar plan terapéutico. - Ajustar horarios. - Garantizar continuidad.,Artículo 29 de la Ley 29783 (Rehabilitación laboral),"terapia, rehabilitación, permiso, salud"
Conflicto por negativa a reconocer síndrome del túnel carpiano como enfermedad laboral,Registrar caso en ESSALUD y adaptar puesto,- Validar diagnóstico. - Reportar a autoridad. - Proveer ergonomía.,Artículo 5 de la Ley 26790 (Enfermedades profesionales),"túnel carpiano, enfermedad, reconocimiento, salud"
Denuncia por despido durante licencia por cáncer de mama,Reintegrar y pagar salarios caídos,- Validar certificado oncológico. - Multar a la empresa. - Garantizar estabilidad.,Artículo 34 del DS 003-97-TR (Protección por enfermedad grave),"cáncer, mama, despido, discriminación"

